ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 469563, 467970, 519137, 480863, 469563, 498111, 501889, 484070, 710260,4012208,Marion
 469884, 468287, 518824, 481176, 469884, 497802, 502198, 484030, 710220,4022663,McDuffie
 470087, 468506, 518610, 481390, 470087, 497595, 502405, 484190, 710150,4029359,McIntosh
 470414, 468859, 518275, 481725, 470414, 497279, 502721, 484450, 709960,4040236,Meriwether
 470590, 469041, 518097, 481903, 470590, 497100, 502900, 484510, 709970,4043071,Miller
 470764, 469222, 517937, 482063, 470764, 496946, 503054, 484580, 709910,4052034,Mitchell
 471432, 470161, 517080, 482920, 471432, 496283, 503717, 487290, 707970,4233470,Newton
 471646, 470142, 517029, 482971, 471646, 496075, 503925, 484960, 709540,4067626,Monroe
 471905, 470411, 516766, 483234, 471905, 495821, 504179, 485060, 709450,4071592,Montgomery
 471949, 470552, 516661, 483339, 471949, 495732, 504268, 486030, 709290,4179231,Muscogee
 472575, 471078, 516106, 483894, 472575, 495171, 504829, 485030, 709350,4083299,Morgan
 472663, 471279, 515940, 484060, 472663, 495103, 504897, 486160, 708370,4258638,Oconee
 473051, 471692, 515528, 484472, 473051, 494704, 505296, 486410, 708240,4266769,Oglethorpe
 473849, 472467, 514730, 485270, 473849, 493872, 506128, 486180, 708580,4098688,Murray
 476060, 474966, 512239, 487761, 476060, 491605, 508395, 489060, 706340,4352154,Paulding
 476177, 475091, 512123, 487877, 476177, 491498, 508502, 489140, 706250,4364699,Peach
 476513, 475657, 511647, 488353, 476513, 491154, 508846, 491440, 704930,4580346,Rockdale
 476666, 475814, 511493, 488507, 476666, 491006, 508994, 491480, 704870,4582621,Schley
 476825, 475980, 511335, 488665, 476825, 490861, 509139, 491550, 704740,4589249,Screven
 476988, 476146, 511175, 488825, 476988, 490704, 509296, 491580, 704710,4593133,Seminole
 477041, 476439, 510118, 489882, 477041, 489891, 510109, 493980, 702270,2337537,Forsyth
 477480, 476447, 510763, 489237, 477480, 490190, 509810, 489670, 705730,4381815,Pickens
 477724, 476950, 510394, 489606, 477724, 489964, 510036, 492260, 704300,4623249,Spalding
 478274, 477264, 509961, 490039, 478274, 489408, 510592, 489900, 705530,4390863,Pierce
 478388, 477620, 509751, 490249, 478388, 489323, 510677, 492320, 704280,4653724,Taliaferro
 478404, 477475, 509799, 490201, 478404, 489237, 510763, 490710, 705620,4535660,Richmond
 478405, 477638, 509732, 490268, 478405, 489309, 510691, 492330, 704230,4652796,Talbot
 478469, 477701, 509663, 490337, 478469, 489247, 510753, 492320, 704160,4649274,Sumter
 478484, 477716, 509636, 490364, 478484, 489210, 510790, 492320, 704260,4637124,Stewart
 478517, 477748, 509600, 490400, 478517, 489180, 510820, 492310, 704200,4635134,Stephens
 478683, 478117, 508458, 491542, 478683, 488269, 511731, 494340, 701890,2348302,Franklin
 478826, 478080, 509298, 490702, 478826, 488889, 511111, 492540, 704090,4661907,Tattnall
 478946, 478205, 509176, 490824, 478946, 488768, 511232, 492590, 704080,4665746,Taylor
 479074, 478343, 509050, 490950, 479074, 488647, 511353, 492690, 704030,4674495,Terrell
 479091, 478366, 509022, 490978, 479091, 488621, 511379, 492750, 704010,4670079,Telfair
 479165, 478175, 509061, 490939, 479165, 488541, 511459, 490100, 705200,4401583,Pike
 479617, 478876, 508535, 491465, 479617, 488110, 511890, 492590, 704250,4696348,Thomas
 480255, 479509, 507908, 492092, 480255, 487475, 512525, 492540, 704330,4712631,Tift
 480284, 479368, 507885, 492115, 480284, 487418, 512582, 490840, 704670,4418982,Polk
